"","YEAR","SERIAL","PERNUM","STATEFIP","RELATE","RELATED","MOMLOC","POPLOC","NCHILD","SEX","AGE","mother_age","father_age","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","PERWT"
"4824",2011,214625,2,8,2,201,3,0,0,2,65,92,NA,1,1,1,0,11,"High School or More",119300,"$20,000+",3,3,47
"4825",2011,214704,1,8,1,101,2,0,0,1,65,87,NA,6,0,1,0,6,"High School or More",18500,"< $20,000",2,2,60
"4826",2011,214760,1,8,1,101,2,0,0,2,60,80,NA,5,0,1,0,6,"High School or More",60300,"$20,000+",2,2,18
"4827",2011,214832,2,8,2,201,0,5,2,1,53,NA,80,1,1,1,0,6,"High School or More",166000,"$20,000+",5,5,409
"4828",2011,214879,2,8,3,301,1,0,2,2,47,83,NA,4,0,1,0,10,"High School or More",24200,"$20,000+",4,4,82
"4829",2011,215011,2,8,2,201,3,0,0,2,65,92,NA,1,1,1,0,10,"High School or More",63400,"$20,000+",3,3,101
"4830",2011,215086,2,8,3,301,1,0,1,1,57,81,NA,6,0,1,0,6,"High School or More",50800,"$20,000+",3,3,121
"4831",2011,215195,1,8,1,101,3,0,0,2,68,92,NA,1,1,1,0,10,"High School or More",85830,"$20,000+",3,3,85
"4832",2011,215208,2,8,3,301,1,0,0,1,59,82,NA,1,1,1,0,7,"High School or More",64200,"$20,000+",3,3,74
"4833",2011,215380,2,8,3,301,1,0,0,1,57,80,NA,6,0,1,0,7,"High School or More",18500,"< $20,000",2,2,165
"4834",2011,215621,2,8,3,301,1,0,1,1,50,80,NA,4,0,1,0,6,"High School or More",30500,"$20,000+",3,3,80
"4835",2011,215712,2,8,3,301,0,1,0,1,42,NA,82,6,0,1,0,8,"High School or More",98000,"$20,000+",2,2,102
"4836",2011,215719,1,8,1,101,0,2,0,2,63,NA,92,4,0,1,0,10,"High School or More",31600,"$20,000+",2,2,9
"4837",2011,215743,1,8,1,101,2,0,0,1,59,80,NA,6,0,1,0,7,"High School or More",33800,"$20,000+",2,2,146
"4838",2011,215769,2,8,2,201,3,0,0,2,59,85,NA,1,1,1,0,10,"High School or More",234500,"$20,000+",3,3,59
"4839",2011,215932,2,8,3,301,0,1,0,1,60,NA,92,4,0,1,0,10,"High School or More",243000,"$20,000+",2,2,161
"4840",2011,216004,2,8,3,301,1,0,0,2,54,85,NA,6,0,1,0,8,"High School or More",21600,"$20,000+",2,2,68
"4841",2011,216036,2,8,3,301,1,0,0,1,54,80,NA,6,0,1,0,10,"High School or More",35200,"$20,000+",2,2,82
"4842",2011,216079,1,8,1,101,6,0,3,1,46,81,NA,1,1,1,0,11,"High School or More",138110,"$20,000+",8,7,131
"4843",2011,216117,2,8,3,301,1,0,0,2,68,92,NA,4,0,1,0,8,"High School or More",78800,"$20,000+",2,2,52
"4844",2011,216459,1,8,1,101,0,2,0,1,57,NA,87,6,0,1,0,11,"High School or More",118700,"$20,000+",2,2,19
"4845",2011,216640,3,8,3,301,2,1,0,1,56,80,79,4,0,1,0,8,"High School or More",68300,"$20,000+",3,3,40
"4846",2011,216709,1,8,1,101,3,0,0,2,56,83,NA,1,1,1,0,6,"High School or More",55000,"$20,000+",3,3,93
"4847",2011,216745,2,8,3,301,0,1,0,1,56,NA,81,6,0,1,0,6,"High School or More",35500,"$20,000+",2,2,49
"4848",2011,216766,3,8,3,301,2,1,0,1,58,88,86,4,0,1,0,10,"High School or More",121610,"$20,000+",3,3,182
